slot_epoch_seconds,tape,base_cents,reb_cents,evm_cents,evmplc_cents
1784475000,W03,-252.898,-18.588,41.196,-91.382
1784475600,W03,-17.14,-84.245,-45.029,-34.006
1784475900,W03,626.209,385.43,101.72,-21.783
1784476200,W03,-645.145,-645.145,-39.042,-0.692
1784476500,W03,69.319,143.238,4.97,-34.679
1784476800,W03,200.982,78.674,7.636,-138.739
1784477100,W03,-888.262,-913.933,-75.417,-51.42
1784477400,W03,339.919,339.919,1.847,73.453
1784477700,W03,255.525,123.92,481.615,703.494
1784478300,W03,-228.199,-75.979,42.431,-27.65
1784478900,W03,-514.169,-420.628,117.674,510.157
1784480400,W03,202.592,60.412,197.722,362.377
1784480700,W03,152.31,186.666,6.49,5.957
1784481300,W03,193.519,193.519,438.979,63.564
1784481600,W03,-104.594,-199.435,-22.662,67.047
1784481900,W03,-60.955,-52.573,151.199,-198.565
1784482200,W03,-49.722,-101.679,-45.538,252.248
1784482500,W03,-24.86,-24.86,320.81,246.932
1784483100,W03,175.448,148.43,164.467,-89.011
1784483400,W03,516.056,568.812,64.213,292.829
1784484300,W03,-204.034,-180.543,30.427,20.078
1784484600,W03,607.611,717.803,263.849,215.168
1784484900,W03,-193.928,-170.075,-162.015,-77.234
1784485200,W03,128.837,-85.386,182.509,148.804
1784485800,W03,466.791,443.944,337.697,127.058
1784486100,W03,15.107,-29.883,-24.397,-66.175
1784486700,W03,-252.931,-289.998,-124.833,-12.808
1784487300,W03,-557.125,-330.666,-81.847,-83.999
1784488500,W03,149.86,73.376,9.551,299.083
1784489400,W03,-28.422,-109.51,144.696,74.866
1784491200,W03,217.343,234.995,13.533,38.833
1784493900,W04,56.287,50.244,-110.433,59.488
1784494500,W04,217.087,414.937,553.859,234.388
1784497800,W04,113.526,-118.74,-322.157,-433.134
1784498700,W04,490.805,473.544,345.6,479.86
1784499600,W04,575.858,246.213,246.905,210.127
1784499900,W04,120.25,359.607,1050.686,830.491
1784500200,W04,-690.589,-468.31,788.214,632.141
1784500500,W04,-405.936,-173.812,176.737,226.585
1784500800,W04,123.53,220.66,278.95,201.447
1784501100,W04,-62.071,-86.831,392.186,262.524
1784501400,W04,-170.674,177.575,374.896,260.685
1784501700,W04,-72.138,-177.932,187.816,287.443
1784502300,W04,568.109,456.176,360.536,454.705
1784502600,W04,-62.826,87.374,81.785,186.78
1784502900,W04,6.922,151.156,-22.552,-181.963
1784503200,W04,282.026,368.483,542.744,335.483
1784503500,W04,783.639,218.733,592.026,604.392
1784505000,W04,347.056,289.486,106.939,217.906
1784505300,W04,-143.915,81.172,14.265,-106.673
1784506500,W04,-91.28,-91.28,576.41,294.278
1784507100,W04,239.574,135.073,165.115,145.184
1784508600,W04,491.683,365.344,199.417,-38.582
1784508900,W04,306.313,74.288,-170.65,153.247
1784509200,W04,-485.367,-541.849,-164.088,-115.386
1784510100,W04,263.443,153.394,692.081,342.99
1784510700,W04,52.745,52.745,-122.108,-66.91
1784511000,W04,239.173,264.686,229.416,355.891
1784511300,W04,500.669,462.795,293.302,310.262
1784511900,W04,126.031,29.37,87.124,150.249
1784513100,W04,619.268,133.688,-37.121,327.124
1784514900,W04,-43.105,463.163,78.599,42.048
1784516400,W04,303.285,298.746,-239.321,-29.359
1784517000,W04,576.947,1057.245,465.328,376.848
1784517300,W04,-109.098,63.898,559.244,267.771
1784517600,W04,-104.828,152.662,102.802,56.589
1784517900,W04,-424.344,-71.122,91.489,9.935
1784519100,W04,327.192,374.584,276.488,142.532
1784519400,W04,-469.44,-58.409,154.432,-25.603
1784519700,W04,419.031,-38.101,15.943,-102.021
1784520300,W04,232.587,236.495,189.094,204.661
1784520600,W04,-26.634,-134.173,98.141,-126.114
1784520900,W04,-64.656,-41.913,-161.683,-385.55
1784521800,W05,-11.377,463.562,1185.769,1212.258
1784522400,W05,-141.795,-136.347,81.114,145.044
1784522700,W05,178.682,428.612,69.395,155.904
1784523900,W05,-4.334,-46.395,353.668,192.244
1784525100,W05,406.652,602.939,120.016,188.152
1784525400,W05,435.498,55.948,-21.406,428.974
1784525700,W05,19.498,-22.048,538.211,431.359
1784526000,W05,198.29,65.194,423.116,510.836
1784526600,W05,47.261,47.261,229.349,4.791
1784526900,W05,-475.591,-218.579,54.25,-18.018
1784527200,W05,-271.696,-331.807,6.945,-127.966
1784527500,W05,-785.734,-488.011,-563.493,-519.377
1784527800,W05,548.773,548.773,322.912,457.7
1784528100,W05,25.147,47.436,93.958,-11.642
1784528400,W05,-221.764,-286.421,165.852,365.163
1784528700,W05,47.648,185.269,122.76,164.114
1784529300,W05,90.54,-63.267,80.271,63.66
1784529900,W05,192.206,-5.028,-104.429,-94.549
1784530200,W05,-390.107,-390.107,210.334,86.824
1784530500,W05,436.958,315.085,380.211,27.036
1784531100,W05,53.486,202.538,446.238,354.667
1784531400,W05,126.386,-186.203,5.093,42.335
1784531700,W05,549.383,586.485,255.533,72.096
1784532300,W05,49.921,-29.564,347.65,166.496
1784532600,W05,37.955,-21.583,173.262,132.347
1784533500,W05,359.538,332.402,166.363,200.004
1784533800,W05,-109.387,22.935,313.717,451.879
1784534100,W05,-284.585,-517.8,54.471,293.939
1784534400,W05,-130.775,-4.035,-43.369,159.565
1784534700,W05,-346.708,-196.007,-91.33,-39.031
1784535300,W05,-67.324,-77.291,216.674,51.561
1784535900,W05,51.549,19.805,131.863,213.186
1784537400,W05,-162.65,14.654,-66.78,55.302
1784537700,W05,260.188,541.73,533.104,341.513
1784538000,W05,141.408,200.064,557.218,218.977
1784538300,W05,202.076,85.407,118.212,175.748
1784538600,W05,-150.138,-339.718,31.991,112.865
1784538900,W05,323.505,16.402,98.694,115.564
1784539200,W05,129.05,129.05,-282.146,-220.359
1784540100,W05,-257.733,67.079,498.203,-110.335
1784540400,W05,234.197,192.483,642.513,368.105
1784540700,W05,51.529,64.977,107.779,45.335
1784541000,W05,-145.768,-145.768,208.987,33.089
1784541300,W05,23.975,23.975,39.297,-58.855
1784541600,W05,-235.948,89.25,163.891,322.696
1784542500,W05,-87.857,-94.763,-205.374,28.438
1784543700,W05,-450.878,-251.792,-327.877,-111.994
1784544300,W05,-113.918,-32.139,199.107,211.73
1784544600,W05,577.899,577.899,135.627,231.611
1784545200,W05,-539.614,-240.474,237.935,15.892
1784546100,W05,-416.263,-255.629,-33.579,9.242
1784546400,W05,-214.959,-214.959,-222.176,-158.581
1784546700,W05,-114.361,12.723,103.264,157.924
1784547600,W05,-81.209,-569.939,251.082,253.62
1784548500,W05,-725.685,-725.685,-156.692,170.509
1784549100,W05,502.477,502.477,234.047,313.325
1784549700,W05,278.595,278.595,217.408,155.469
1784550300,W06,-484.41,-578.644,76.422,161.266
1784550600,W06,530.243,530.243,28.324,-4.949
1784550900,W06,68.943,-80.461,148.593,-28.265
1784551200,W06,24.037,24.037,-284.588,-120.498
1784552100,W06,329.297,334.684,219.163,145.019
1784552400,W06,88.33,88.33,-83.718,29.722
1784553000,W06,51.269,51.269,-168.96,206.941
1784553300,W06,30.695,91.227,-162.014,-4.971
1784554800,W06,-212.656,-212.656,46.072,49.598
1784555100,W06,-287.155,-287.155,387.931,63.846
1784555700,W06,376.982,376.982,283.409,361.593
1784556000,W06,-278.326,-278.326,61.915,283.859
1784556300,W06,-59.568,-59.568,-67.311,-3.832
1784556900,W06,-458.972,-458.972,268.292,104.467
1784557200,W06,-289.753,-289.753,155.483,236.74
1784557500,W06,-160.823,-160.823,42.221,120.043
1784557800,W06,65.4,92.753,249.705,-12.123
1784558100,W06,123.468,123.468,99.331,123.828
1784558400,W06,95.216,30.529,230.022,264.605
1784558700,W06,119.575,119.575,35.459,41.527
1784559000,W06,113.928,113.928,93.267,119.549
1784559300,W06,217.732,217.732,-106.047,88.56
1784560500,W06,285.471,285.471,-62.044,275.079
1784560800,W06,-24.813,-24.813,-35.056,-84.992
1784561700,W06,13.298,-196.515,-244.647,-215.445
1784562300,W06,-17.683,300.223,-34.532,-64.826
1784562900,W06,-192.619,-192.619,-137.534,-36.195
1784563800,W06,158.948,158.948,-95.479,3.664
1784564400,W06,206.174,62.853,-5.736,122.622
1784565000,W06,-37.585,35.841,45.273,75.264
1784565300,W06,-146.291,-146.291,241.466,66.982
1784565600,W06,-578.534,-578.534,163.533,389.649
1784565900,W06,64.991,64.991,196.292,95.151
1784566200,W06,46.962,46.962,131.327,263.88
1784567100,W06,-206.303,-206.303,-148.016,-87.989
1784567400,W06,28.135,28.135,90.104,75.806
1784567700,W06,-360.601,-35.55,113.126,108.772
1784568000,W06,212.544,101.503,304.883,210.772
1784568300,W06,209.786,156.445,-5.641,-81.899
1784568900,W06,88.974,88.974,329.521,21.588
1784570100,W06,22.065,22.065,28.762,-29.985
1784570400,W06,-133.602,-133.602,-296.625,-231.546
1784570700,W06,204.438,204.438,-53.296,-168.957
1784571900,W06,-12.43,-12.43,-137.975,12.909
1784572500,W06,-232.408,-168.101,-45.561,147.377
1784573100,W06,27.185,77.837,-3.024,-174.758
1784573400,W06,197.619,197.619,307.994,219.365
1784573700,W06,212.67,212.67,178.018,71.213
1784574300,W06,27.798,27.798,94.755,274.192
1784575200,W06,311.083,311.083,94.337,-226.876
1784575500,W06,131.992,57.198,-133.169,-141.173
1784576400,W06,183.681,183.681,188.285,-135.559
1784576700,W06,184.509,184.509,650.868,381.611
1784577000,W06,-236.376,-56.947,-208.724,-296.876
1784578500,W06,-103.376,-103.376,-21.459,-64.399
1784579100,W07,701.2,765.323,10.597,-64.216
1784580300,W07,-10.284,-27.874,156.427,275.935
1784580600,W07,-78.338,-67.366,-33.376,-184.392
1784580900,W07,-112.277,-280.806,-121.585,-30.901
1784581800,W07,-233.822,-205.57,64.258,-12.392
1784582100,W07,157.734,153.051,133.421,67.562
1784583600,W07,307.037,81.241,-256.023,-359.515
1784584200,W07,98.993,275.772,302.664,70.026
1784585100,W07,242.009,364.58,277.969,214.443
1784585400,W07,-44.834,163.075,-205.662,-39.599
1784585700,W07,-471.082,-264.631,-231.741,-184.349
1784586000,W07,-68.827,38.191,-14.026,-4.501
1784586900,W07,-106.476,406.015,237.801,67.134
1784587200,W07,22.594,230.479,347.178,310.314
1784587800,W07,153.415,-348.755,-457.396,-649.429
1784588100,W07,-442.958,-322.026,-318.214,-110.566
1784588400,W07,-16.411,76.036,318.131,378.728
1784589900,W07,-14.408,-164.198,88.059,153.252
1784590200,W07,27.204,221.029,245.752,205.967
1784591100,W07,283.416,231.559,3.794,220.133
1784592300,W07,247.377,221.605,-67.192,-101.284
1784592600,W07,1204.991,380.641,102.682,60.614
1784592900,W07,517.601,451.656,206.075,32.557
1784593200,W07,-68.583,132.89,436.763,431.341
1784593500,W07,-0.463,44.317,93.95,92.924
1784593800,W07,-199.556,-291.04,-199.498,-126.964
1784594100,W07,178.315,237.104,528.498,479.719
1784594400,W07,-140.125,-272.654,206.576,208.075
1784594700,W07,-190.488,-747.986,134.35,397.71
1784595000,W07,-43.166,-43.166,-270.778,-107.156
1784595300,W07,151.379,56.243,-168.385,23.742
1784595600,W07,-484.831,-316.67,58.753,159.695
1784596800,W07,124.597,248.277,-194.258,-213.745
1784597100,W07,15.74,-143.231,-4.85,114.001
1784597400,W07,312.621,324.935,206.163,-28.189
1784597700,W07,479.697,69.901,96.805,62.611
1784598300,W07,222.091,376.052,526.256,106.807
1784598600,W07,-70.31,-18.671,259.785,-9.219
1784598900,W07,192.228,99.464,326.773,-44.524
1784599500,W07,-166.199,-211.636,207.056,159.644
1784599800,W07,-295.855,-401.135,-119.702,-309.332
1784600700,W07,-379.588,-93.905,-109.008,-241.555
1784601300,W07,-225.419,83.348,365.762,110.073
1784601900,W07,167.511,88.743,-119.61,-176.097
1784602500,W07,55.351,55.351,77.621,56.477
1784602800,W07,236.505,7.927,282.038,311.768
1784603100,W07,370.568,370.568,409.476,359.032
1784603400,W07,-369.756,-369.756,-33.3,209.822
1784603700,W07,-523.598,-523.598,33.911,45.651
1784604000,W07,-92.56,95.823,226.632,75.313
1784604300,W07,190.8,190.8,-54.767,15.578
1784604600,W07,-47.709,-136.624,-123.349,-99.488
1784604900,W07,57.516,-83.551,-224.719,-292.412
1784605200,W07,-171.863,-258.457,-68.224,8.084
1784610000,W08,27.622,107.839,138.025,-33.906
1784610600,W08,-76.708,-62.698,-209.501,6.04
1784610900,W08,-28.073,112.486,265.792,-45.76
1784611500,W08,-307.93,-63.401,196.986,309.802
1784611800,W08,-572.249,-56.458,176.895,-94.64
1784613000,W08,-74.399,-113.092,40.181,292.469
1784613300,W08,124.799,103.72,-24.798,-71.752
1784613600,W08,129.152,92.248,-142.102,129.498
1784613900,W08,-582.399,-344.905,98.552,-66.835
1784614200,W08,-332.827,-207.797,346.615,582.18
